product_image,product_name,product_rating,product_url
https://images-eu.ssl-images-amazon.com/images/I/51VHHTGkvbS._SX300_SY300_QL70_ML2_.jpg,"Lazy Gardener Ceramic Magnetic Planter Pots for Refrigerator, Dot Brush Hand-Painted (Pack of 2)",3.9 out of 5 stars,https://www.amazon.in/dp/B08YYGML12?&linkCode=ll1&tag=giftomatic07-21&linkId=afeedca984cf9b972a4ace20cd655a5f&language=en_IN&ref_=as_li_ss_tl
https://images-na.ssl-images-amazon.com/images/I/41mByBL3SyL._SY300_SX300_.jpg,Snug Colour Block Olive Sling Bag,3.8 out of 5 stars,https://www.amazon.in/Chumbak-Colour-Block-Olive-Sling/dp/B084YTY3FS?&linkCode=ll1&tag=giftomatic07-21&linkId=b96d6eb2c8a1a20b9d58896746328bd8&language=en_IN&ref_=as_li_ss_tl
https://images-na.ssl-images-amazon.com/images/I/51DD3H00AHL._SY300_SX300_.jpg,Chumbak Live Slow Laptop Sleeve - 15,4.2 out of 5 stars,https://www.amazon.in/Chumbak-Yourself-15-6-Laptop-Sleeve/dp/B08436M8B3?&linkCode=ll1&tag=giftomatic07-21&linkId=ae1f3ff53ef0dc4c2b27f5195ed9deec&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/61Uk6jKnt5L._SX300_SY300_QL70_ML2_.jpg,Chumbak Vibrant Jungle Trinket Box,4.5 out of 5 stars,https://www.amazon.in/Chumbak-Story-Stripes-Suitcase/dp/B01N306ZIT?&linkCode=ll1&tag=giftomatic07-21&linkId=a5a968ffef6bb67bb7c9aa6ddd19152c&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/31nSh9X%2B9GL._SX300_SY300_QL70_ML2_.jpg,Scarters Originals Canvas Splash-Proof Black Ultra-Sleek Designer Laptop/Tablet/MacBook Sleeve for 14 Inch : Folio Vol. I,4.7 out of 5 stars,https://www.amazon.in/Scarters-Splash-Proof-Ultra-Sleek-Designer-MacBook/dp/B07G9D7BVC?&linkCode=ll1&tag=giftomatic07-21&linkId=fe611810b9190b29ef44a705cca96f1c&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/417%2B87QCohL._SX300_SY300_QL70_ML2_.jpg,"RUilY Heng Balance Table Lamp, ABS PP, White, Pack of 1",4.5 out of 5 stars,https://www.amazon.in/RUilY-Balance-Magnetic-Bedroom-Wyoming/dp/B08FY7RKTT?&linkCode=ll1&tag=giftomatic07-21&linkId=c8f308786ff9bad2f7d9beb082af05de&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/31GL34ZToAL._SX300_SY300_QL70_ML2_.jpg,Kala MK-SD Makala Dolphin Series Soprano Ukulele - Red,4.1 out of 5 stars,https://www.amazon.in/Kala-Makala-Dolphin-Soprano-Ukulele/dp/B0056I7ACM?&linkCode=ll1&tag=giftomatic07-21&linkId=ee789366561c24db4b4b49a7a1266173&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51jVWFOltHL._SX300_SY300_QL70_ML2_.jpg,Zerone English Calligraphy Feather Dip Quill Pen Writing Ink Set Stationery Gift Box with 5 Nibs(Red),4.4 out of 5 stars,https://www.amazon.in/Zerone-English-Calligraphy-Feather-Stationery/dp/B07KPDDB9P?&linkCode=ll1&tag=giftomatic07-21&linkId=3b60b8c419e297c95717bc00a8a7318a&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51bkQArO1OL._SX300_SY300_QL70_ML2_.jpg,Vintage Market Trinket Box,4.5 out of 5 stars,https://www.amazon.in/Chumbak-Vintage-Market-Trinket-Box/dp/B084MK37NC?&linkCode=ll1&tag=giftomatic07-21&linkId=1d4b4f7712a7c1081cb601ec71c003ec&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/31l6ZWBJNWL._SX300_SY300_QL70_ML2_.jpg,Kala KA-15S Mahogany Soprano Ukulele,4.6 out of 5 stars,https://www.amazon.in/Kala-KA-15S-Mahogany-Soprano-Ukulele/dp/B001LU1SFO?&linkCode=ll1&tag=giftomatic07-21&linkId=b5a59432f5ecaaa37fd1898f18c8dc60&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/41wzKuGPP8L._SX300_SY300_QL70_ML2_.jpg,PagKis Bamboo Stainless Steel Flask Water Bottle/Thermos with Tea Strainer | Double Wall Vacuum Insulated | Hot & Cold (450 ML),4.4 out of 5 stars,https://www.amazon.in/dp/B088FJ5K7M?&linkCode=ll1&tag=giftomatic07-21&linkId=6c79662ea631fa4dbd23d8373bfd3f52&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/31tB0EIdR1L._SX300_SY300_QL70_ML2_.jpg,MINISO Facial Cleansing Brush Facial Wash Massage,4.2 out of 5 stars,https://www.amazon.in/MINISO-Facial-Cleansing-Brush-Massage/dp/B0885ZC5VY?&linkCode=ll1&tag=giftomatic07-21&linkId=8b318c8503307e54425f23e0e13da9b0&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/31ptjYQL2WS._SX300_SY300_QL70_ML2_.jpg,MINISO Dog Plush Toy 45cm(Khaki),4.4 out of 5 stars,https://www.amazon.in/MINISO-Dog-Plush-45cm-Khaki/dp/B097DRHYHK?th=1&linkCode=ll1&tag=giftomatic07-21&linkId=235ecb310aaf2ff1c12f548758514dd6&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/41ebvNCYQfL._SX300_SY300_QL70_ML2_.jpg,"MINISO Simple Eye Mask, Random Color",4.4 out of 5 stars,https://www.amazon.in/dp/B08L4L53D9?_encoding=UTF8&psc=1&linkCode=ll1&tag=giftomatic07-21&linkId=d793a0fb594b8d3b3b57952ed5f46d59&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/41T9DL2x13L._SX300_SY300_QL70_ML2_.jpg,"HUG n FEEL SOFT TOYS 3 Feet Teddy Bear, Baby Toys, Toys for Girls, Birthday Gift for Girls/Wife, Boyfriend/ Husband | Wedding/Anniversary Gift for Couple Special, Soft Toy Gift Item, (3 Feet, Pink)",4.1 out of 5 stars,https://www.amazon.in/Extra-Lovable-Huggable-Girlfriend-Birthday/dp/B07CXFKZ75?&linkCode=ll1&tag=giftomatic07-21&linkId=2c74b266ee65146b4fb2ab06f23a2de9&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/41etja3CBGL._SX300_SY300_QL70_ML2_.jpg,MINISO We Bear Bears - U-Shaped Pillow with Hood (Ice Bear),4.5 out of 5 stars,https://www.amazon.in/MINISO-We-Bear-Bears-U-Shaped/dp/B084JLQKPM?pd_rd_w=bwp2n&pf_rd_p=18688541-e961-44b9-b86a-bd9b8fa83027&pf_rd_r=FASVDRYMXM9ZB4RDTRTX&pd_rd_r=171ca22f-b97a-458f-8521-fb4eecdb3c5b&pd_rd_wg=eJuPY&pd_rd_i=B084JLQKPM&psc=1&linkCode=ll1&tag=giftomatic07-21&linkId=5a340025df877da41a178fa3b8a69d53&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/41QynP3pqFL._SX300_SY300_QL70_ML2_.jpg,"Hug N Feel Soft Toys Teddy Bear 4 feet Soft Toy | Birthday Gift for Girls/Wife, Boyfriend/ Husband | Wedding/Anniversary Gift for Couple Special, Baby Toys Gift Items, 4 feet Cream (121 cm)",4.1 out of 5 stars,https://www.amazon.in/Extra-Lovable-Huggable-Girlfriend-Birthday/dp/B07CXK7HHZ?th=1&psc=1&linkCode=ll1&tag=giftomatic07-21&linkId=a89e47fdf724c985040e9bed865c8ac6&language=en_IN&ref_=as_li_ss_tl
